grid_size,u280_buff_size_2024_througput,u280_buff_size_8192_througput,vck5000_buff_size_8192_througput,vck5000_buff_size_16384_througput
30x30,95.4628127,95.8071334,144.920215,146.657081
60x60,356.387212,354.943791,300.147131,306.608106
100x100,438.98912,439.359741,391.347386,398.808267
200x100,505.534863,505.256901,453.143013,460.722295
200x200,543.92095,543.723788,508.037072,516.213925
300x150,554.470372,554.360547,511.591618,519.07986
300x300,533.637162,578.034682,549.486727,558.356801
400x200,534.910094,555.862097,520.883203,528.898194
400x300,566.312721,566.388717,538.703942,547.388946
,,,,
