"grid_size","handcoded_u280","codegen_u280","handcoded_vck5000","codegen_vck5000"
"30x30","7719.582","9064.39","7777.667","4446.8"
"60x60","9832.482","9853.57","9832.482","7260"
"100x100","13559.504","11086.8","13933.497","13614.3"
"200x100","20714.212","13740.3","23781.362","22935.5"
"200x200","29551.19","22341.8","38031.239","37318.8"
"300x150","33471.369","24891.6","43407.199","42708.9"
"300x300","52434.453","43877.8","74868.011","74490.9"
"400x200","50988.838","41623.4","71086.836","71862.2"
"400x300","68104.978","58943.5","99425.573","100858"
"400x400","85180.005","76908.2","128038.23","129886"
