"grid_size",num_elements,"codegen_u280"
"30x30",900,"9064.39"
"60x60",3600,"9853.57"
"100x100",10000,"11086.8"
"200x100",20000,"13740.3"
"200x200",40000,"22341.8"
"300x150",45000,"24891.6"
"300x300",90000,"43877.8"
"400x200",80000,"41623.4"
"400x300",120000,"58943.5"
"400x400",160000,"76908.2"
"400x425",170000,"83398.4"
"400x350",140000,"67591.5"
"400x375",150000,"71931.2"
"300x350",105000,"50287.4"
"300x375",112500,"53412.2"
"300x400",120000,"56561.7"
"300x425",127500,"59738.2"
"300x450",135000,"62916.2"
"300x475",142500,"66047.9"
"300x500",150000,"69267.6"
"300x525",157500,"72534.1"
"300x550",165000,"77295.7"
"300x575",172500,"82020.5"
