"grid_size","handcoded_u280","codegen_u280","handcoded_vck5000","codegen_vck5000"
"30x30","65.1027538","95.8071334","106.101176","146.657081"
"60x60","185.793186","354.943791","257.992715","306.608106"
"100x100","319.21115","439.359741","384.285568","398.808267"
"200x100","382.499967","505.256901","431.847034","460.722295"
"200x200","460.420936","543.723788","496.984419","516.213925"
"300x150","467.294291","554.360547","502.68914","519.07986"
"300x300","524.884077","578.034682","550.009932","558.356801"
"400x200","504.632655","555.862097","530.416269","528.898194"
"400x300","530.515473","566.388717","551.303433","547.388946"
"400x400","544.25745","571.676778","562.813446","557.12018"
