"grid_size","handcoded_u280","codegen_u280","handcoded_vck5000","codegen_vck5000"
"30x30","41.9711845","38.1418784","67.6793927","93.0187157"
"60x60","131.808022","134.17538","194.703494","229.182177"
"100x100","265.496437","326.24949","337.368795","350.388834"
"200x100","347.587444","513.537417","398.027882","419.563305"
"200x200","487.290021","698.517106","511.011463","540.433022"
"300x150","483.99574","695.637238","497.273666","523.242293"
"300x300","617.914332","804.932947","603.310813","626.425892"
"400x200","564.829502","746.721426","558.70918","564.524349"
"400x300","634.314866","801.528842","612.308316","617.631668"
"400x400","676.215034","827.757467","644.841744","648.31427"
