"grid_size","handcoded_u280","codegen_u280","handcoded_vck5000","codegen_vck5000",H100_1B,H100_100B,pow_C_U280_10000B,pow_C_VCK5000_10000B,pow_H100_10000B
"100","5.19502109","5.11734935","8.90392663","11.6129632",0.07652827,2.71616116,,,
"150","7.8934905","7.81809211","12.8714486","17.197496",0.11540207,4.68720217,,,
"200","10.56967","10.2683988","16.5254202","22.7001014",0.15253164,6.24527051,,,
"500","25.6588772","26.0070809","41.2137731","53.3502157",0.46529807,13.2424606,,,
"1000","47.6400697","51.1336326","71.9084749","97.4465749",0.94092851,30.4858221,1.75185249,1.205645,9.00333559
"2000","90.0556093","103.230069","125.885658","166.560716",1.49873731,60.6232066,1.73227243,1.380155,7.95071111
"5000","179.266085","255.87707","214.889246","290.712886",3.77246503,131.268049,1.74699433,2.1103130769230765,9.06787141
"10000","295.362804","424.879228","297.61019","383.368454",9.516589,300.360433,2.08503643,2.9960044444444445,9.23640793
"20000","423.474609","501.709995","334.970969","460.62925",14.8369053,593.372034,3.50752294,4.9180516,9.31240151
30000,491.244924,536.989636,,492.489535,22.591609,731.362447,,,
