"grid_size",handcoded_u280,codegen_2048SLR_32HLS_DATCPY_1B,codegen_2048SLR_32HLS_DATCPY_10B,codegen_2048SLR_32HLS_DATCPY_20B,codegen_2048SLR_32HLS_DATCPY_50B,codegen_2048SLR_32HLS_DATCPY_100B,codegen_2048SLR_32HLS_DATCPY_200B,codegen_2048SLR_10HLS_LOOP_1B,codegen_2048SLR_10HLS_LOOP_10B,codegen_2048SLR_10HLS_LOOP_20B,codegen_2048SLR_10HLS_LOOP_50B,codegen_2048SLR_10HLS_LOOP_100B,codegen_2048SLR_10HLS_LOOP_200B,pow_C_U280_DATCPY_1B_10000B,pow_C_U280_DATCPY_10B_10000B,pow_C_U280_DATCPY_20B_10000B,pow_C_U280_DATCPY_50B_10000B,pow_C_U280_DATCPY_100B_10000B,pow_C_U280_DATCPY_200B_10000B,_16384SLR_10HLS,pow_C_U280_LOOP_10B_10000B,pow_C_U280_LOOP_20B_10000B,pow_C_U280_LOOP_50B_10000B,pow_C_U280_LOOP_100B_10000B,pow_C_U280_LOOP_200B_10000B
"100",,5.497855232,46.11415672,85.87360595,176.730226,283.8106039,371.8194763,5.9174396,60.2939405,120.452449,299.461508,452.941176,522.306288,5.546298237,0.253909948,0.144543395,0.089021113,0.105520902,0.102124688,1.62978067,0.223224502,0.135258488,0.086206514,0.073304859,0.056381037
"150",,8.240325918,68.03866777,123.0973137,242.4381055,355.6090629,419.3743599,8.94566469,89.3838674,178.813862,430.229226,525.858043,585.532302,2.050919354,0.260530162,0.165663739,0.107458077,0.113162768,0.118848388,1.655743488,0.22469046,0.138189893,0.080481943,0.067332688,0.067131997
"200",,10.98965443,86.35389858,154.9016068,290.2290519,393.2687271,443.7876381,11.8130679,119.605696,239.101875,488.610478,567.031722,623.093682,1.913163554,0.283603713,0.17853809,0.126328763,0.13992243,0.156247167,1.653076261,0.231354034,0.15550268,0.106949035,0.085738036,
"500",,26.87498434,193.659474,305.1519155,431.3167873,473.3308114,497.0619879,29.6971543,298.966609,498.142127,608.09169,655.991961,,2.088611836,0.36523205,0.283002927,0.247549822,0.260462872,0.209102152,1.748834878,0.278537832,0.210257605,0.202356138,,
"1000",,47.80202988,295.242496,408.6103438,465.011846,500.8338893,515.970516,59.371293,503.749182,596.330275,669.072923,,,2.418315991,0.551340847,0.477107081,0.433493756,0.378060081,0.317276796,1.82575684,0.432535323,0.377869959,,,
"2000",,88.56656649,410.8267838,460.6923425,500.7796019,516.0813563,524.7889835,119.906327,596.383568,656.709237,,,,2.48094474,0.712898332,0.657441039,0.566226807,0.546985383,0.555913743,1.793410108,0.523400757,,,,
"5000",,182.4784253,471.2953953,504.0704994,522.6535414,529.5586482,533.2466785,298.940419,677.979112,,,,,3.199872219,1.574673257,1.39484303,1.250554007,1.275328868,1.234612013,2.013595904,,,,,
"10000",,293.0613838,503.2907472,520.1855554,529.5642513,533.251413,535.0175489,507.992036,,,,,,4.249082126,2.734670262,2.515102548,2.398567504,2.417298719,2.400514585,2.695587464,,,,,
20000,,416.803149,520.5453332,528.6211783,533.58683,535.4181896,536.2308489,600.140293,,,,,,7.140788653,5.07271399,4.833290351,4.72910478,4.726723392,4.725549665,4.705815438,,,,,
30000,,435.1238502,525.606469,531.4260434,534.9889546,536.1542582,536.821971,639.421405,,,,,,10.5114026,7.48891482,7.167211689,7.036310546,7.027759636,7.017463001,6.77256013,,,,,
