"grid_size",handcoded,codegen_16384SLR_10HLS_DATCPY_1B,codegen_16384SLR_10HLS_DATCPY_10B,codegen_16384SLR_10HLS_DATCPY_20B,codegen_16384SLR_10HLS_DATCPY_50B,codegen_16384SLR_10HLS_DATCPY_100B,codegen_16384SLR_10HLS_DATCPY_200B,codegen_16384SLR_10HLS_LOOP_1B,codegen_16384SLR_10HLS_LOOP_10B,codegen_16384SLR_10HLS_LOOP_20B,codegen_16384SLR_10HLS_LOOP_50B,codegen_16384SLR_10HLS_LOOP_100B,codegen_16384SLR_10HLS_LOOP_200B,pow_C_DATCPY_1B_10000B,pow_C_DATCPY_10B_10000B,pow_C_DATCPY_20B_10000B,pow_C_DATCPY_50B_10000B,pow_C_DATCPY_100B_10000B,pow_C_DATCPY_200B_10000B,pow_C_LOOP_1B_10000B,pow_C_LOOP_10B_10000B,pow_C_LOOP_20B_10000B,pow_C_LOOP_50B_10000B,pow_C_LOOP_100B_10000B,pow_C_LOOP_200B_10000B
"100",,9.7536101,61.3007267,103.598165,181.856719,234.133791,268.13697,12.5576027,100.384423,166.352759,274.096386,347.770701,402.708864,1.14722475,0.180036,0.097461,0.0866635,0.085017,0.08376675,0.8205155,0.104008171,0.073469222,0.04410599,0.036104625,0.03365275
"150",,14.5451434,85.7673267,121.137555,201.760279,257.047478,287.00223,18.557045,139.869585,219.710272,333.641952,405.263158,452.440739,1.1558505,0.1774645,0.176702,0.09626925,0.09875,0.1025205,0.83436,0.12453965,0.08609202,0.0566832,0.04785435,0.044551421
"200",,19.0111421,107.814099,162.976229,246.60234,283.088235,304.232201,24.7637425,172.874331,260.609216,375.915378,442.072722,482.545294,1.168721375,0.171,0.175,0.09875,0.10575,0.1024795,0.8279355,0.126835275,0.095788364,0.067297457,0.059832267,0.056587952
"500",,43.817795,202.524987,260.631835,307.684426,316.83231,343.643791,57.9492563,298.082268,386.088969,472.928281,509.293806,,1.1989445,0.366813333,0.2864145,0.190019,0.211751333,0.186666667,1.021309143,0.2142952,0.163918118,0.144652829,0.13511,
"1000",,66.8768957,249.55333,282.960199,316.909212,337.495364,335.008562,105.481305,393.418139,461.106163,520.279284,,,1.5752358,0.55451025,0.4260213,0.43095,0.3880699,0.3879806,1.0325,0.327245333,0.277028571,0.2644208,,
"2000",,107.390183,282.79499,320.255095,337.924516,335.322789,325.92062,178.198962,466.011282,511.763052,,,,2.101378923,0.9514555,0.808187389,0.709467937,0.7072295,0.767,1.198875,0.487222914,0.46256,,,
"5000",,190.150423,333.591794,304.587372,357.107182,327.387377,344.016991,301.332365,527.265768,,,,,2.978534118,1.9003208,2.049800524,1.77443875,1.9027657,1.797988,1.810023273,1.099273413,,,,
"10000",,250.750665,304.441932,330.827432,327.27784,344.535617,349.820197,396.715832,,,,,,4.78640448,4.085570667,3.795866447,3.773180077,3.595094757,3.490105792,2.889542353,,,,,
20000,,283.910956,330.914561,349.228008,319.568375,351.178782,299.364486,469.983207,,,,,,8.771884348,7.7423796,7.050041111,7.56196,7.010445676,8.020983325,4.706292,,,,,
30000,,291.761597,318.752023,354.031336,302.313407,362.824303,350.894276,501.535113,,,,,,12.83647571,11.58809423,10.44331664,11.88746661,10.15604789,10.57323453,7.184371667,,,,,
