"grid_size",handcoded_u280,codegen_128SLR_10HLS_DATCPY_1B,codegen_128SLR_10HLS_DATCPY_10B,codegen_128SLR_10HLS_DATCPY_20B,codegen_128SLR_10HLS_DATCPY_50B,codegen_128SLR_10HLS_DATCPY_100B,codegen_4096SLR_360HLS_LOOP_1B,codegen_4096SLR_360HLS_LOOP_10B,codegen_4096SLR_360HLS_LOOP_20B,codegen_4096SLR_360HLS_LOOP_50B
"30x30",,32.0104805,210.698818,312.613069,439.918534,507.45918,,,,
"60x60",,97.77815,444.68234,552.369627,645.170925,685.208537,,,,
"100x100",,197.940267,576.787199,645.555218,695.138376,713.529713,,,,
"200x100",,276.925846,670.648643,727.944421,767.513703,781.81371,,,,
"200x200",,415.96022,741.402053,775.01106,797.299149,804.687304,,,,
"300x150",,404.243055,751.020658,789.066461,812.956112,821.555174,,,,
"300x300",,550.365445,797.454054,818.358509,831.482387,835.887434,,,,
"400x200",,481.459424,760.784718,786.714361,803.263257,808.891061,,,,
400x300,,559.456317,782.782056,800.54259,811.667724,815.473612,,,,
400x400,,608.985389,793.62783,807.482673,815.993472,818.861101,,,,
