"grid_size",codegen_128SLR_10HLS_DATCPY_1B,codegen_128SLR_10HLS_DATCPY_10B,codegen_128SLR_10HLS_DATCPY_20B,codegen_128SLR_10HLS_DATCPY_50B,codegen_128SLR_10HLS_DATCPY_100B,codegen_8192SLR_10HLS_LOOP_1B,codegen_8192SLR_10HLS_LOOP_10B,codegen_8192SLR_10HLS_LOOP_20B,codegen_8192SLR_10HLS_LOOP_50B
"30x30",40.8841177,275.227313,411.474865,584.228831,678.720984,42.6177517,410.855002,581.278074,675.275269
"60x60",128.497693,590.847036,742.691923,867.133697,923.3046,152.732843,764.075925,833.265852,
"100x100",264.086913,774.80652,871.319186,938.969043,964.205787,368.891399,852.833223,,
"200x100",377.008476,908.769485,985.464473,1037.21451,1057.16443,585.192494,,,
"200x200",563.551129,1002.88257,1048.74953,1078.44161,1088.32788,792.711082,,,
"300x150",555.881401,1018.2529,1066.96956,1099.42683,1111.32311,795.237652,,,
"300x300",748.434587,1080.23905,1107.50048,1124.98284,1130.74841,914.405335,,,
"400x200",660.724739,1031.81244,1065.77609,1087.11394,1094.34712,851.109728,,,
400x300,766.183657,1059.98572,1083.69725,1098.3023,1103.2529,905.794784,,,
400x400,827.810262,1074.59724,1092.91888,1104.00652,1107.68167,937.811586,,,
